dimension,category_or_comparison,focal_category,total_occurrences,severe_rate_percent,reference_category_or_rate,reference_total_occurrences,reference_rate_percent,absolute_difference_percentage_points,years_observed,annual_minimum_rate_percent,annual_maximum_rate_percent,annual_range_percentage_points,sample_size_flag,temporal_consistency_note,semantic_quality_note,leakage_concern,modeling_eligibility_status,scientific_priority,scientific_interpretation,substantive_evidence
condicao_metereologica,Nevoeiro/Neblina vs Garoa/Chuvisco,Nevoeiro/Neblina,2838,31.501057,Garoa/Chuvisco,12118,22.2644,9.236657,5,29.098361,33.90411,4.805749,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 4.81 p.p.,Somente condições informadas com n≥500; Ignorado excluído do contraste.,Sem contaminação direta identificada.,candidata,secundário,Contraste meteorológico descritivo com controle editorial de amostra.,true
tracado_via_component,Ponte vs Rotatória,Ponte,3540,31.751412,Rotatória,8422,20.007124,11.744288,5,29.890644,34.828496,4.937852,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 4.94 p.p.,Componentes multivalorados e não mutuamente exclusivos; n≥500.,Sem contaminação direta identificada.,candidata_com_cautela,secundário,Contraste entre componentes elegíveis sem participação exclusiva.,true
tipo_acidente,Atropelamento de Pedestre vs Colisão traseira,Atropelamento de Pedestre,15313,68.020636,Colisão traseira,65634,23.673706,44.34693,5,67.157344,68.771708,1.614364,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 1.61 p.p.,Taxonomia variou: união de 18 categorias; 16 presentes nos cinco anos.,Possível conhecimento durante ou após a ocorrência.,requer_decisao_metodologica,central,Tipo de alta taxa comparado ao tipo de maior volume; associação descritiva.,true
tipo_acidente,Colisão frontal vs Colisão traseira,Colisão frontal,23045,63.059232,Colisão traseira,65634,23.673706,39.385526,5,62.278481,63.533525,1.255044,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 1.26 p.p.,Taxonomia variou: união de 18 categorias; 16 presentes nos cinco anos.,Possível conhecimento durante ou após a ocorrência.,requer_decisao_metodologica,central,Colisão frontal comparada ao tipo de maior volume; associação descritiva.,true
causa_acidente,Pedestre andava na pista vs Reação tardia ou ineficiente do condutor,Pedestre andava na pista,3262,75.413857,Reação tardia ou ineficiente do condutor,46901,23.929127,51.48473,5,74.257426,77.794562,3.537136,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 3.54 p.p.,Taxonomia variou: união de 76 categorias; 65 presentes nos cinco anos.,Causa registrada pode ser consolidada após a ocorrência.,requer_decisao_metodologica,central,Causa registrada de alta taxa comparada à categoria de maior volume.,true
causa_acidente,Transitar na contramão vs Reação tardia ou ineficiente do condutor,Transitar na contramão,11145,60.233288,Reação tardia ou ineficiente do condutor,46901,23.929127,36.304161,5,58.866279,60.829103,1.962824,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 1.96 p.p.,Taxonomia variou: união de 76 categorias; 65 presentes nos cinco anos.,Causa registrada pode ser consolidada após a ocorrência.,requer_decisao_metodologica,central,Contramão comparada à causa de maior volume; associação descritiva.,true
pessoas,9 vs 1,9,875,49.028571,1,74795,18.782004,30.246567,5,44.370861,53.225806,8.854945,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 8.85 p.p.,Valores exatos com n≥500; associação parcialmente mecânica com o target.,Mais pessoas oferecem mais oportunidades de satisfazer o target da ocorrência.,requer_decisao_metodologica,secundário,"Crescimento descritivo real, sem interpretação causal direta.",true
veiculos,5 vs 1,5,5767,40.332929,1,114757,20.471954,19.860975,5,37.325349,41.634241,4.308892,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 4.31 p.p.,Valores exatos com n≥500; não se assume relação linear.,Pode ser consolidada durante ou após a ocorrência.,requer_decisao_metodologica,secundário,Contraste descritivo entre contagens elegíveis.,true
condicao_metereologica_qualidade,Ignorado (categoria especial),Ignorado,4492,34.550312,,,,,5,30.3,37.09856,6.79856,qualidade_de_dados,Preservada para monitoramento de qualidade; sem contraste substantivo.,Ausência semântica; não representa condição meteorológica observada.,Não aplicável como achado substantivo.,,qualidade/metodológico,"Métrica de qualidade, não evidência da dimensão.",false
sentido_via_qualidade,Não Informado (categoria especial),Não Informado,883,9.173273,,,,,5,6.451613,14.619883,8.16827,qualidade_de_dados,Preservada para monitoramento de qualidade; sem contraste substantivo.,Categoria de informação ausente; não evidência substantiva de sentido.,Não aplicável como achado substantivo.,,qualidade/metodológico,"Métrica de qualidade, não evidência da dimensão.",false
br_qualidade,0 (categoria especial),0,883,9.173273,,,,,5,6.451613,14.619883,8.16827,qualidade_de_dados,Preservada para monitoramento de qualidade; sem contraste substantivo.,BR não identificada; preservada como qualidade geográfica.,Não aplicável como achado substantivo.,,qualidade/metodológico,"Métrica de qualidade, não evidência da dimensão.",false
