numeric_id,section_id,text_fragment,displayed_value,source_artifact,source_value,rounding_rule,status
"NUM011","4.2.1","Contraste entre 19h e 8h","19h; 33,73%; 8h; 23,12%","reports/tables/phase_2f_association_evidence_matrix.csv","19; 33.732337%; 8; 23.124346%","horas como categorias; percentuais com 2 casas","PASS"
"NUM012","4.2.2","Nordeste versus Sul","35,92%; 24,87%","reports/tables/phase_5a_research_question_evidence.csv","35.917125%; 24.874032%","2 casas no texto","PASS"
"NUM013","4.2.2","Maranhão versus São Paulo","45,81%; 18,64%","reports/tables/phase_5a_research_question_evidence.csv","45.811700%; 18.639426%","2 casas no texto","PASS"
"NUM014","4.2.2","Pista Simples versus Dupla","33,71%; 23,35%","reports/tables/phase_5a_research_question_evidence.csv","33.711528%; 23.351325%","2 casas no texto","PASS"
"NUM015","4.2.2","Critério e contraste meteorológico","500; 31,50%; 22,26%","reports/tables/phase_5a_research_question_evidence.csv","n>=500; 31.501057%; 22.264400%","critério inteiro; percentuais com 2 casas","PASS"
"NUM016","4.2.3","Diferença do contraste de tipo registrado","44,35 p.p.","reports/tables/phase_5a_research_question_evidence.csv","44.346930 p.p.","2 casas no texto","PASS"
"NUM017","4.2.3","Diferença do contraste de causa registrada","51,48 p.p.","reports/tables/phase_5a_research_question_evidence.csv","51.484730 p.p.","2 casas no texto","PASS"
"NUM018","4.3","Quantidade de folds e AP média das três famílias","3; 0,3935; 0,3960; 0,4008","reports/tables/phase_4d_model_comparison.csv","3; 0.3935082935577437; 0.3959839275865431; 0.40081097458169895","AP com 4 casas","PASS"
"NUM019","4.3","Deltas médios de AP entre famílias","0,0025; 0,0073; 0,0048","reports/tables/phase_4d_pairwise_ap_deltas.csv","0.0024756340287994116; 0.00730268102395526; 0.004827046995155848","4 casas no texto","PASS"
"NUM020","4.4","AP do XGBoost nos três folds","0,3904; 0,4050; 0,4071","reports/tables/phase_4d_fold_comparison.csv","0.390374557377428; 0.40496847114969603; 0.4070898952179728","4 casas no texto","PASS"
"NUM021","4.4","Quantidade de resultados apresentada em F5","9","reports/tables/phase_4d_fold_comparison.csv","9 linhas de modelo-fold","inteiro","PASS"
"NUM022","4.5","Métricas finais de 2025 no texto","0,3974; 0,6286; 0,1938; 0,3316; 0,7718; 0,4639","reports/tables/tcc/T2_final_2025_evaluation.csv","0.3974456687131155; 0.6285562620583193; 0.19382199321256413; 0.33159329140461213; 0.7718245254477138; 0.4638892554954321","4 casas no texto","PASS"
"NUM023","4.5","Deltas probabilísticos versus desenvolvimento no texto","−0,0034; −0,0023; aproximadamente −0,00008","reports/tables/tcc/T2_final_2025_evaluation.csv","-0.003365305868583468; -0.0022936789354663922; -0.00007547537507013313","4 casas para AP/ROC-AUC; 5 casas para aproximação do Brier","PASS"
"NUM024","4.5/T2","Linha Average Precision da Tabela 2","0,4008; 0,3974; −0,0034","reports/tables/tcc/T2_final_2025_evaluation.csv","0.40081097458169895; 0.3974456687131155; -0.003365305868583468","4 casas","PASS"
"NUM025","4.5/T2","Linha ROC-AUC da Tabela 2","0,6308; 0,6286; −0,0023","reports/tables/tcc/T2_final_2025_evaluation.csv","0.6308499409937857; 0.6285562620583193; -0.0022936789354663922","4 casas","PASS"
"NUM026","4.5/T2","Linha Brier score da Tabela 2","0,1939; 0,1938; −0,0001","reports/tables/tcc/T2_final_2025_evaluation.csv","0.19389746858763426; 0.19382199321256413; -0.00007547537507013313","4 casas","PASS"
"NUM027","4.5/T2","Linha Precision da Tabela 2","0,3333; 0,3316; −0,0017","reports/tables/tcc/T2_final_2025_evaluation.csv","0.33330114898136526; 0.33159329140461213; -0.0017078575767531246","4 casas","PASS"
"NUM028","4.5/T2","Linha Recall da Tabela 2","0,7705; 0,7718; +0,0014","reports/tables/tcc/T2_final_2025_evaluation.csv","0.7704563403495519; 0.7718245254477138; 0.0013681850981619448","4 casas","PASS"
"NUM029","4.5/T2","Linha F1 da Tabela 2","0,4653; 0,4639; −0,0014","reports/tables/tcc/T2_final_2025_evaluation.csv","0.46530870405989; 0.4638892554954321; -0.0014194485644579147","4 casas","PASS"
"NUM030","4.6","Threshold e período OOF usados na seleção","0,237232; 2022; 2023; 2024","reports/tables/phase_4f_threshold_selection.csv","0.23723246157169342; 2022; 2023; 2024","threshold com 6 casas; anos como identificadores do período","PASS"
"NUM031","4.6","Matriz de confusão no texto","20.153; 31.883; 4.676; 15.817","reports/tables/phase_4h_threshold_evaluation.csv","20153; 31883; 4676; 15817","inteiros com separador de milhar","PASS"
"NUM032","4.6","Recall, precision e F1 do threshold no texto","77,18%; 33,16%; 0,4639","reports/tables/phase_4h_threshold_evaluation.csv","77.18245254477138%; 33.15932914046121%; 0.4638892554954321","percentuais com 2 casas; F1 com 4 casas","PASS"
"NUM033","4.7.1","Quantidade de faixas quantílicas","10","reports/tables/phase_4h_calibration.csv","10 bins","inteiro","PASS"
"NUM034","4.7.2","Quantidade de predictors destacados em texto e figura","5; 8","reports/tables/phase_4i_global_feature_contributions.csv","top 5 no texto; top 8 na figura","inteiros","PASS"
"NUM035","4.7.2","Colunas one-hot agregadas em BR","125","reports/tables/phase_4i_global_feature_contributions.csv","125","inteiro","PASS"
"NUM036","5.2","ROC-AUC aproximada retomada na discussão","0,63","reports/tables/phase_4h_final_evaluation.csv","0.6285562620583193","2 casas em aproximação textual","PASS"
"NUM037","5.3","Período e quantidade de variáveis físicas do experimento","2021–2024; 22","reports/tables/phase_4g_final_model_manifest.csv","2021-2024; 22","período como identificador; contagem inteira","PASS"
"NUM038","5.4","Quantidade de folds internos retomada na discussão","3","reports/tables/phase_3d_temporal_folds.csv","3","inteiro","PASS"
"NUM039","5.5","Resumo do ponto de operação na discussão","77%; 33%; 31.883","reports/tables/phase_4h_threshold_evaluation.csv","77.18245254477138%; 33.15932914046121%; 31883","percentuais aproximados sem casas; contagem inteira","PASS"
"NUM040","5.7","Quantidade de folds e de anos finais na limitação","3; 1","reports/tables/phase_3d_temporal_folds.csv; reports/tables/phase_3d_partition_summary.csv","3 folds; 1 ano final","inteiros","PASS"
"NUM041","5.7","Cardinalidade OHE de BR retomada na limitação","125","reports/tables/phase_4i_global_feature_contributions.csv","125","inteiro","PASS"
